gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
10737,Varde Partners Real Estate Credit,Private Debt,Real Estate Credit,Private Performing,130.60847,8,0,8
9046,Beyond Capital Partners,Private Equity,Buyout,Small Buyout,129.41626,12,12,12
15335,Pennybacker Capital - Credit,Private Debt,Real Estate Credit,Multi-strategy Debt,129.02361,14,5,14
4557,CMP Capital Management-Partners GmbH,Private Equity,Buyout,Small Buyout,128.94032,10,10,10
16479,Realterm Europe Core-Plus,Real Estate,Core / Core+,Europe Core,128.74078,15,0,15
6997,Equilibrium Water & Waste,,,,128.02307,14,14,14
3353,Juvo Ventures,Private Equity,Venture Capital,Early Stage,127.89084,80,80,80
11333,Threestones Capital Management,Real Estate,Value-Add,Europe,127.69643,28,0,28
9043,Aurica Capital,Private Equity,Growth Equity,Small Growth Equity,127.31272,8,8,8
8978,Peloton Equity,Private Equity,Buyout,Small Buyout,127.1,9,9,9
9803,Paloma Capital,Real Estate,Opportunistic,Europe,127.05331,23,3,23
334,Aurora Russia,Private Equity,Growth Equity,Small Growth Equity,126.71531,4,4,4
25524,Bow River Growth,Private Equity,Growth Equity,Small Growth Equity,126.703,6,6,6
15359,Riverstone CKD,Real Assets,Infrastructure,Power,126.41918,5,5,5
17621,Firstminute Capital,Private Equity,Venture Capital,Early Stage,126.40609,127,127,127
17187,Cohere Capital,Private Equity,Buyout,Small Buyout,126.3504,7,7,7
6387,Oria Capital (f.k.a. DLM),Private Equity,Growth Equity,Small Growth Equity,125.75661,20,20,20
10722,responsAbility Management Company,Real Assets,Natural Resources,Agriculture,125.4,14,14,14
26164,Kimmeridge Carbon Solutions,Real Assets,Infrastructure,Renewables,124.67729,7,6,7
15377,Acre Venture Partners,Private Equity,Venture Capital,Balanced,123.86108,23,23,23
16711,LGVP,Private Equity,Venture Capital,Expansion,123.45787,18,18,18
5468,Verod Capital Management,Private Equity,Buyout,Middle Buyout,123.00102,16,14,16
16317,Lauxera Capital Partners,Private Equity,Growth Equity,Small Growth Equity,121.77,8,8,8
17275,BlackFin Tech,Private Equity,Venture Capital,Early Stage,121.61778,17,17,17
15627,Fusion Fund,Private Equity,Venture Capital,Early Stage,121.45968,104,104,104
15052,EOS,Private Equity,Buyout,Small Buyout,121.40843,12,12,12
18250,Altor ACT,Private Equity,Buyout,Middle Buyout,120.73457,4,4,4
18195,Abenex Croissance,Private Equity,Buyout,Small Buyout,120.38301,11,11,11
10761,SDCL,Real Assets,Infrastructure,Diversified,119.87151,23,23,23
977,Arx Equity (fka DBG Eastern Europe),Private Equity,Buyout,Small Buyout,119.767,19,19,19
16349,I Squared InfraTech,Real Assets,Infrastructure,Diversified,119.57533,17,17,17
2738,Rosemont Investment Partners,Private Equity,Buyout,Small Buyout,118.61105,23,23,23
15110,1547 Critical Systems Realty,Real Estate,Opportunistic,US Small Market,118.5359,15,2,15
10374,Alpha Edison,Private Equity,Venture Capital,Early Stage,118.42833,32,32,32
2296,Noro-Moseley Partners,Private Equity,Growth Equity,Small Growth Equity,118.1,18,18,18
9180,Saama Capital,Private Equity,Venture Capital,Balanced,117.65096,38,38,38
17566,Nexa Equity,Private Equity,Growth Equity,Small Growth Equity,117.02085,6,6,6
16092,Ethos Capital,Private Equity,Buyout,Small Buyout,116.99546,2,2,2
9790,Moderne Ventures,Private Equity,Venture Capital,Early Stage,116.913,32,29,32
16810,Thurston Group,Private Equity,Buyout,Small Buyout,115.96882,8,8,8
7578,DECA Investments,Private Equity,Growth Equity,Small Growth Equity,115.64944,10,10,10
5567,Water Asset Management,Real Assets,Natural Resources,Agriculture,115.49873,13,13,13
5675,Tar Heel Capital,Private Equity,Buyout,Small Buyout,115.48369,23,23,23
2772,San Francisco Equity Partners,Private Equity,Buyout,Small Buyout,115.33755,6,6,6
1033,Draper Triangle Ventures,Private Equity,Venture Capital,Early Stage,114.96465,35,35,35
14456,Afore Capital,Private Equity,Venture Capital,Early Stage,113.93464,113,113,113
18533,Greenridge Growth Partners,Private Equity,Growth Equity,Small Growth Equity,113.86027,11,11,11
7587,Amiti Capital,Private Equity,Venture Capital,Balanced,113.828,29,29,29
3156,Topspin Partners,Private Equity,Venture Capital,Late Stage,113.46542,7,7,7
15792,Basis Set,Private Equity,Venture Capital,Early Stage,113.14176,85,85,85
17081,Valo Ventures,Private Equity,Venture Capital,Early Stage,113.00364,24,24,24
17731,Preservation Equity Fund Advisors,Real Estate,Value-Add,US Small Market,112.94,20,20,20
3822,Mercato Partners,Private Equity,Growth Equity,Small Growth Equity,112.92944,15,15,15
5122,HPE Growth Capital,Private Equity,Growth Equity,Small Growth Equity,112.88997,9,9,9
4076,Berkeley Energy,Real Assets,Energy,ENR Diversified,112.4,11,11,11
9101,MagiCapital,Private Equity,Growth Equity,Small Growth Equity,112.23249,7,7,7
1335,GBS Venture Partners Limited,Private Equity,Venture Capital,Early Stage,111.80813,32,32,32
26103,Quad Capital Partners,Real Estate,Core / Core+,US Core+,111.08361,4,3,4
25160,Panthera Growth Partners,Private Equity,Growth Equity,Small Growth Equity,110.9305,11,11,11
16645,Suma Capital Infrastructure,Real Assets,Infrastructure,Renewables,110.89454,21,21,21
16365,Sterling Organization (Core),Real Estate,Core / Core+,US Core,110.844,11,11,11
16075,Carbon Direct,Private Equity,Growth Equity,Small Growth Equity,110.7,8,8,8
16652,Work-Bench Ventures,Private Equity,Venture Capital,Early Stage,110.52196,62,62,62
7304,IQ Capital Partners,Private Equity,Venture Capital,Balanced,110.3,51,51,51
16728,Stonepeak Partners Real Estate,Real Estate,Opportunistic,US / Global Large Market,109.85213,4,4,4
